step,actic loss,critic loss,average distance,time
10,-413.2391,106.5728,10.4085,0min2sec
20,-319.2349,80.1454,10.3501,0min2sec
30,-176.0633,60.1080,10.1658,0min2sec
40,-132.2767,46.2961,9.8543,0min2sec
50,-106.7700,37.5210,9.4801,0min2sec
60,-89.2892,31.5853,9.1802,0min2sec
70,-76.7700,27.3288,8.9571,0min2sec
80,-67.3144,24.1170,8.7850,0min2sec
90,-59.8821,21.6045,8.6479,0min2sec
100,-54.0100,19.5884,8.5336,0min2sec
110,-49.1360,17.9337,8.4433,0min2sec
120,-45.0917,16.5512,8.3689,0min2sec
130,-41.6406,15.3790,8.3011,0min2sec
140,-38.7279,14.3732,8.2436,0min2sec
150,-36.1805,13.5008,8.1921,0min2sec
160,-33.9355,12.7432,8.1486,0min2sec
170,-31.9702,12.0772,8.1109,0min2sec
180,-30.2179,11.4837,8.0795,0min2sec
190,-28.6506,10.9507,8.0511,0min2sec
200,-27.2409,10.4724,8.0248,0min2sec
210,-25.9485,10.0371,8.0013,0min2sec
220,-24.7852,9.6406,7.9777,0min2sec
230,-23.7150,9.2748,7.9625,0min2sec
240,-22.7394,8.9406,7.9463,0min2sec
250,-21.8311,8.6346,7.9310,0min2sec
260,-20.9676,8.3532,7.9197,0min2sec
270,-20.2039,8.0900,7.9041,0min2sec
280,-19.4796,7.8480,7.8893,0min1sec
290,-18.8186,7.6241,7.8754,0min1sec
300,-18.2018,7.4159,7.8620,0min2sec
310,-17.6114,7.2171,7.8487,0min2sec
320,-17.0735,7.0302,7.8391,0min2sec
330,-16.5554,6.8562,7.8288,0min2sec
340,-16.0761,6.6917,7.8174,0min2sec
350,-15.6112,6.5353,7.8069,0min2sec
360,-15.1778,6.3905,7.7975,0min2sec
370,-14.7656,6.2528,7.7885,0min2sec
380,-14.3643,6.1225,7.7793,0min2sec
390,-14.0009,5.9971,7.7719,0min2sec
400,-13.6480,5.8775,7.7645,0min2sec
410,-13.3114,5.7648,7.7593,0min2sec
420,-13.0006,5.6582,7.7518,0min2sec
430,-12.7002,5.5547,7.7451,0min2sec
440,-12.4145,5.4558,7.7384,0min2sec
450,-12.1408,5.3619,7.7328,0min2sec
460,-11.8771,5.2722,7.7280,0min2sec
470,-11.6293,5.1854,7.7230,0min2sec
480,-11.3884,5.1037,7.7188,0min2sec
490,-11.1580,5.0242,7.7143,0min2sec
500,-10.9369,4.9480,7.7096,0min2sec
510,-10.7160,4.8759,7.7045,0min2sec
520,-10.5097,4.8065,7.7011,0min2sec
530,-10.3134,4.7390,7.6965,0min2sec
540,-10.1267,4.6743,7.6930,0min2sec
550,-9.9443,4.6121,7.6893,0min2sec
560,-9.7727,4.5520,7.6848,0min2sec
570,-9.6048,4.4938,7.6806,0min2sec
580,-9.4405,4.4380,7.6769,0min2sec
590,-9.2847,4.3832,7.6732,0min2sec
600,-9.1268,4.3304,7.6701,0min2sec
610,-8.9781,4.2795,7.6667,0min2sec
620,-8.8338,4.2302,7.6642,0min2sec
630,-8.6958,4.1825,7.6611,0min2sec
640,-8.5565,4.1359,7.6587,0min2sec
650,-8.4322,4.0931,7.6568,0min2sec
660,-8.3080,4.0507,7.6553,0min2sec
670,-8.1761,4.0081,7.6556,0min2sec
680,-8.0567,3.9667,7.6568,0min2sec
690,-7.9436,3.9262,7.6551,0min2sec
700,-7.8330,3.8876,7.6533,0min2sec
710,-7.7182,3.8502,7.6513,0min2sec
720,-7.6123,3.8135,7.6491,0min2sec
730,-7.5146,3.7782,7.6473,0min2sec
740,-7.4131,3.7436,7.6459,0min2sec
750,-7.3149,3.7104,7.6451,0min2sec
760,-7.2188,3.6777,7.6443,0min2sec
